Chain_Surveying_Notes (1).pdf	civil	chain-surveying-notes.pdf
surveying example questions.pdf	civil	surveying-example-questions.pdf
Types_of_Surveys_Detailed_Notes.pdf	civil	types-of-surveys-detailed-notes.pdf
Tech and CE.pdf	civil	technology-and-civil-engineering.pdf
INTRODUCTION TO CIVIL ENGINEERING.pdf	civil	introduction-to-civil-engineering.pdf
history of civil engineering (1).pdf	civil	history-of-civil-engineering.pdf
kailasa temple.pdf	civil	kailasa-temple-case-study.pdf
welding shop.pdf	mechanical-workshop	welding-shop.pdf
project writing notes.pdf	languages	project-writing-notes.pdf
lsrw notes 1st year.pdf	languages	lsrw-notes.pdf
SQ3R_Method_Notes_BTech 1st year.pdf	languages	sq3r-method-notes.pdf
Communication notes.docx	languages	communication-notes.docx
Language Skills.docx	languages	language-skills.docx
Project Report Sample Document.pdf	languages	project-report-sample-document.pdf
Oral Presentation Notes.pdf	languages	oral-presentation-notes.pdf
Linguistics.pdf	languages	linguistics.pdf
SGSITS English Proficiency Test (1).pdf	languages	sgsits-english-proficiency-test.pdf
practice sheet 2 ac 3 phase.pdf	electronics	practice-sheet-2-ac-3-phase.pdf
Assignment Electrical.pdf	electronics	assignment-electrical.pdf
L-9_DrSKS.pdf	electronics	lecture-9-dr-sks.pdf
L-8_Dr. SKS.pdf	electronics	lecture-8-dr-sks.pdf
L-7_DrSKS_EE10510.pdf	electronics	lecture-7-dr-sks-ee10510.pdf
L-6.pdf	electronics	lecture-6.pdf
Assignment based on Unit-I DC Circuits_new.pdf	electronics	assignment-unit1-dc-circuits.pdf
Syllbus for MST 2.pdf	electronics	syllabus-mst2.pdf
Practice Sheet 2.pdf	electronics	practice-sheet-2.pdf
Assignment 1_unit 2.pdf	electronics	assignment-1-unit-2.pdf
Ass.-II,MA 10501(MATHEMATICS FOR DATA SCIENCE).pdf	mathematics	assignment-2-ma10501-data-science.pdf
Assignment-I,MA- 10509.pdf	mathematics	assignment-1-ma10509.pdf
Practice Questions Unit 5.pdf	mathematics	practice-questions-unit-5.pdf
Unit5-R-Programming.pdf	mathematics	unit5-r-programming.pdf
Unit5-List of R-Programs.pdf	mathematics	unit5-list-of-r-programs.pdf
Unit5-MS Excel.pdf	mathematics	unit5-ms-excel.pdf
Unit4-Hypothesis Testing.pdf	mathematics	unit4-hypothesis-testing.pdf
Unit4-Sampling.pdf	mathematics	unit4-sampling.pdf
Test statistics.pdf	mathematics	test-statistics.pdf
all theorems pdf.pdf	mathematics	all-theorems.pdf
Assignment 2 SK.pdf	mathematics	assignment-2-sk.pdf
ASSINGMENT 2 UNIT 5.pdf	mathematics	assignment-2-unit-5.pdf
practise sheet 1 1st year.pdf	mathematics	practice-sheet-1-first-year.pdf
Number system 26-Oct-2025 22-24-18(1).pdf	programming	number-system-notes.pdf
Chapter 3 Boolean Algebra.pptx	programming	chapter-3-boolean-algebra.pptx
coa syllabus final.pdf	programming	computer-organization-syllabus.pdf
SGSITS_Syllabus_BTech_1st Year 2025.pdf	general	sgsits-syllabus-btech-1st-year-2025.pdf
Syllabus 2nd sem.pdf	general	syllabus-2nd-sem.pdf
BTech II year Syllabus IT_2026-27 Applied Maths.pdf	general	btech-2nd-year-it-applied-maths-syllabus.pdf
1.docx	general	unlabeled-doc-1.docx
A1.docx.pdf	general	unlabeled-assignment-a1.pdf
